"aircraft","picture","source","author_name","author_profile","license"
"02a0ac","aircraft_pictures/02a0ac.jpg","https://www.flickr.com/photos/130961247@N06/47585392552/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a0ad","aircraft_pictures/02a0ad.jpg","https://www.flickr.com/photos/130961247@N06/49566614787/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a183","aircraft_pictures/02a183.jpg","https://www.flickr.com/photos/airlines470/6917926132/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"02a185","aircraft_pictures/02a185.jpg","https://www.flickr.com/photos/130961247@N06/47638194121/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a186","aircraft_pictures/02a186.jpg","https://www.flickr.com/photos/130961247@N06/49734882313/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a187","aircraft_pictures/02a187.jpg","https://www.flickr.com/photos/130961247@N06/32695582207/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a189","aircraft_pictures/02a189.jpg","https://www.flickr.com/photos/130961247@N06/27852672053/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a18b","aircraft_pictures/02a18b.jpg","https://www.flickr.com/photos/130961247@N06/49587478463/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a18c","aircraft_pictures/02a18c.jpg","https://www.flickr.com/photos/130961247@N06/31712794081/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a18d","aircraft_pictures/02a18d.jpg","https://www.flickr.com/photos/130961247@N06/24779577885/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02a18e","aircraft_pictures/02a18e.jpg","https://www.flickr.com/photos/airlines470/48009770172/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"02a18f","aircraft_pictures/02a18f.jpg","https://www.flickr.com/photos/130961247@N06/47585392342/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
