"icao_code","iata_code","name","callsign","country","active","iata_member","iosa_certified","international","fleet_age","aircraft","aircraft_models","aircraft_over_25_years","routes","connections","destinations","annual_domestic_flights","annual_international_flights","accidents_last_5_years","fatal_accidents_last_5_years"
"NEA",NULL,"New England Airlines","NEW ENGLAND","US","1","0","0","0","45.25","4","1","4",NULL,NULL,NULL,NULL,NULL,"0","0"
"NEF",NULL,"Nordflyg Logistik AB","NORDEX","SE","1","0","0","0","17.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NEP","N7*","MY Jet Xpress","WARISAN","MY","1","0","0","0","32.50","2","1","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"NEW",NULL,"Northeastern Aviation Corp","NORTHEASTERN","US","1","0","0","0","15.50","10","8","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NFA",NULL,"North Flying","NORTH FLYING","DK","1","0","0","1","29.80","10","5","7","7","4","4","0","1094","0","0"
"NFT",NULL,"UTair Helicopter Services","NEFTEAVIA","RU","1","0","0","0","25.13","119","4","77",NULL,NULL,NULL,NULL,NULL,"0","0"
"NGL","VM","MaxAir","MAXAIR NIGERIA","NG","1","0","0","1","18.60","5","3","0","24","12","12","0","1537","0","0"
"NHE",NULL,"Nord Helikopter AS","NORD","NO","1","0","0","0","8.00","9","2","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NHX",NULL,"NHV - Noordzee Helikopters Vlaanderen","EVO","BE","1","0","0","0","12.33","30","6","3",NULL,NULL,NULL,NULL,NULL,"0","0"
"NIA","NP","Nile Air","NILE BIRD","EG","1","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NIG",NULL,"Aero Contractors","AEROLINE","NG","1","0","0","1","27.33","9","4","5","33","17","14","10574","1390","0","0"
"NIM",NULL,"Air Nimbus - Operacoes Aereas S.A","NIMJET","PT","1","0","0","0","12.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NIN","6N","Niger Airlines","NIGER AIRLINES","SA","1","0","0","0","31.50","2","1","2","6","3","3","471","0","0","0"
"NIS",NULL,"La Costena","NICA","NI","1","0","0","1","14.17","6","2","2","20","10","10","4596","126","0","0"
"NJE",NULL,"NetJets Europe","FRACTION","PT","1","0","0","0","7.79","91","8","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NJF",NULL,"NasJet",NULL,"SA","1","0","0","0","13.25","8","7","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NJT",NULL,"NetJets International","NETJET","US","1","0","0","0","13.42","19","2","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NKS","NK","Spirit Airlines","SPIRIT WINGS","US","1","0","0","1","6.88","40","3","0","418","209","59","134835","15239","4","0"
"NKV",NULL,"Nikolaev Air","AIR NIKOLAEV","UA","1","0","0","0","35.00","5","2","5",NULL,NULL,NULL,NULL,NULL,"0","0"
"NKZ",NULL,"Aerokuzbass","NOVOKUZNETSK","RU","1","0","0","0","36.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NLI",NULL,"Northern Air Charter","NORTH LINK","CA","1","0","0","0","32.43","7","2","6",NULL,NULL,NULL,NULL,NULL,"0","0"
"NMA","NE","Nesma Airlines","NESMA","EG","1","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NMB","SW","Air Namibia","NAMIBIA","NA","1","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NMG",NULL,"Genghis Khan Airlines","TIANJIAO AIR","CN","1","0","0","0","1.00","3","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NOF",NULL,"Fonnafly AS","FONNA","NO","1","0","0","0","12.12","16","5","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NOK","DD","Nok Air","NOK AIR","TH","1","0","0","1","5.12","8","2","0","60","30","30","62409","5474","1","0"
"NOS","NO","Neos","MOONFLOWER","IT","1","1","1","1","11.71","7","3","1","407","241","94","1319","8717","0","0"
"NOV",NULL,"Nova Airways","NOVANILE","SD","1","0","0","1","17.50","2","1","0","24","12","13","2141","610","0","0"
"NPT",NULL,"West Atlantic","NEPTUNE","GB","1","0","0","0","27.05","22","2","17",NULL,NULL,NULL,NULL,NULL,"0","0"
"NRG",NULL,"National Regionale Transport",NULL,"GA","1","0","0","0","29.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NRK",NULL,"NAC Flight Services","NATURELINK","ZA","1","0","0","0","30.50","2","1","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"NRL",NULL,"Nolinor Aviation","NOLINOR","CA","1","0","0","0","38.92","13","7","11",NULL,NULL,NULL,NULL,NULL,"0","0"
"NSE","9R*","SATENA","SATENA","CO","1","0","0","1","23.00","2","1","0","102","52","39","26367","12","1","0"
"NSJ",NULL,"Nanshan Jet","NANSHAN","CN","1","0","0","0","5.86","7","4","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NSK",NULL,"Air Intersalonika","INTERSALONIKA","GR","1","0","0","0","23.00","5","4","3",NULL,NULL,NULL,NULL,NULL,"0","0"
"NSO","S0","Aerolineas SOSA","SOSA","HN","1","0","0","1","32.82","11","4","11","44","22","16","9004","2185","0","0"
"NSP",NULL,"Samaritans Purse","SAM PURSE","US","1","0","0","0","29.06","17","9","8",NULL,NULL,NULL,NULL,NULL,"0","0"
"NST",NULL,"Pakistan Aviators & Aviation Ltd.","NISHAT","PK","1","0","0","0","9.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NSW","LE","Norwegian Air Sweden","NORDIC","SE","1","0","0","0","5.00","3","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NTA",NULL,"Northern Thunderbird Air","THUNDERBIRD","CA","1","0","0","0","17.50","2","2","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NTB","3B","TICV","MORABEZA","CV","1","0","0","0","15.67","3","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NTG",NULL,"FlyMex","INTEGRALES","MX","1","0","0","0","19.33","9","6","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NTH",NULL,"Hokkaido Air System","NORTH AIR","JP","1","0","0","0","16.50","4","2","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NTN",NULL,"National Airways Corporation","NATCHAIR","ZA","1","0","0","0","15.63","35","15","8",NULL,NULL,NULL,NULL,NULL,"0","0"
