slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
ad-dme-ils-en-ensd,AD,ANDA DME-ILS,DME-ILS,TERMINAL,108300,20X,1044000,981000,0,,,,25,61.829447222,6.111647222,228,EN,ENSD,,NO
ad-loc-en-ensd,AD,ILS 26,LOC,TERMINAL,108300,,,,,,253.303,,18,61.829633333,6.111897222,0,EN,ENSD,26,NO
ad-ndb-en-ensd,AD,ANDA NDB,NDB,TERMINAL,288,,,,,,,,15,61.829566667,6.115938889,,EN,ENSD,,NO
ad-ndb-ly-lykv,AD,KRALJEVO NDB,NDB,TERMINAL,387,,,,,,,,15,43.754416667,20.664277778,,LY,LYKV,,RS
ad-ndb-oy,AD,ADEN NDB,NDB,ENROUTE,361,,,,,,,,75,12.870277778,45.005555556,,OY,,,YE
ad-ndb-ur,AD,SOCHI NDB,NDB,ENROUTE,365,,,,,,,,25,43.454777778,39.960777778,,UR,,,RU
ad-ndb-uu-uuee,AD,SHEREMETYEVO (MOSCOW) NDB,NDB,TERMINAL,700,,,,,,,,25,55.986333333,37.500000000,,UU,UUEE,,RU
ad-ndb-wi,AD,RENGAT NDB,NDB,ENROUTE,280,,,,,,,,50,-0.349166667,102.335472222,,WI,,,ID
ad-vor-dme-di,AD,ABIDJAN VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,0,-4.000,,,130,5.282816667,-3.916977778,46,DI,,,CI
ad-vor-dme-ym,AD,ADELAIDE VOR/DME,VOR-DME,ENROUTE,116400,111X,1135000,1198000,0,8.000,,,130,-34.946972222,138.524527778,33,YM,,,AU
ada-dme-ils-gm-gmad,ADA,AL-MASSIRA DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,30.321000000,-9.398527778,299,GM,GMAD,,MA
ada-gs-gm-gmad,ADA,GS 27,GS,TERMINAL,110300,,,,,,271.599,3.00,18,30.321000000,-9.398527778,299,GM,GMAD,27,MA
ada-ils-ii-gm-gmad,ADA,ILS 27,ILS-II,TERMINAL,110300,,,,,,271.599,,18,30.323083333,-9.431250000,299,GM,GMAD,27,MA
ada-ndb-sb,ADA,ALDEIA (SAO PEDRO DA-) NDB,NDB,ENROUTE,345,,,,,,,,50,-22.822930556,-42.096491667,,SB,,,BR
ada-vor-dme-lt,ADA,ADANA VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,3.200,,,130,36.940583333,35.210388889,66,LT,,,TR
ada-vor-dme-sb,ADA,ALDEIA (SAO PEDRO DA) VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,0,-22.000,,,125,-22.812775000,-42.095338889,48,SB,,,BR
adg-ndb-k5,ADG,ADRIAN NDB,NDB,ENROUTE,278,,,,,,,,25,41.869980556,-84.077480556,,K5,,,US
adh-vor-dme-k4,ADH,ADA VOR/DME,VOR-DME,ENROUTE,117800,125X,1149000,1212000,0,6.000,,,25,34.802555556,-96.670083333,987,K4,,,US
adk-dme-pa,ADK,MOUNT MOFFETT DME,DME,ENROUTE,114000,87X,1111000,1174000,0,,,,130,51.871075000,-176.674275000,329,PA,,,US
adk-ndb-pa,ADK,MOUNT MOFFETT NDB,NDB,ENROUTE,530,,,,,,,,50,51.871877778,-176.675988889,,PA,,,US
adl-vor-dme-ur,ADL,SOCHI VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,7.000,,,130,43.454472222,39.962111111,98,UR,,,RU
adm-vor-dme-gm,ADM,AL-MASSIRA (AGADIR) VOR/DME,VOR-DME,ENROUTE,117200,119X,1143000,1206000,0,-3.000,,,130,30.321916667,-9.383472222,300,GM,,,MA
adm-vortac-k4,ADM,ARDMORE VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,0,6.000,,,130,34.211586111,-97.168227778,937,K4,,,US
adn-ndb-lt,ADN,ADANA NDB,NDB,ENROUTE,395,,,,,,,,15,36.970888889,35.261611111,,LT,,,TR
adn-vor-dme-eg,ADN,ABERDEEN VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,0,-2.000,,,130,57.310450000,-2.267208333,600,EG,,,GB
adn-vor-dme-mm,ADN,ROBERTO (MONTERRY) VOR/DME,VOR-DME,ENROUTE,115400,101X,1125000,1188000,0,5.000,,,150,25.865441667,-100.238794444,1493,MM,,,MX
ado-ndb-sa,ADO,PUERTO DESEADO NDB,NDB,ENROUTE,210,,,,,,,,50,-47.733333333,-65.909444444,,SA,,,AR
adr-vor-dme-da,ADR,ADRAR VOR/DME,VOR-DME,ENROUTE,112600,73X,1097000,1160000,0,-1.000,,,130,27.820333333,-0.202758333,952,DA,,,DZ
ads-vor-dme-ha,ADS,ADDIS (ADDIS ABEBA) VOR/DME,VOR-DME,ENROUTE,112900,76X,1100000,1163000,0,2.000,,,130,8.975041667,38.799400000,7656,HA,,,ET
adv-ndb-en,ADV,ADVENT (SVALBARD) NDB,NDB,ENROUTE,326,,,,,,,,50,78.176808333,16.012508333,,EN,,,SJ
adv-vor-dme-om,ADV,ABU DHABI VOR/DME,VOR-DME,ENROUTE,114250,89Y,1113000,1050000,0,2.000,,,130,24.418963889,54.673244444,109,OM,,,AE
adw-vortac-k6,ADW,ANDREWS (CAMP SPRINGS) VORTAC,VORTAC,ENROUTE,113100,78X,1102000,1165000,0,-10.000,,,40,38.807219444,-76.866255556,263,K6,,,US
adx-ndb-le,ADX,ANDRAITX NDB,NDB,ENROUTE,384,,,,,,,,25,39.549444444,2.395861111,,LE,,,ES
ae-dme-ils-ek-ekyt,AE,AALBORG DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,57.094972222,9.837111111,19,EK,EKYT,,DK
ae-dme-ils-sa-sabe,AE,JORGE NEWBERY AEROPARQUE DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,-34.556197222,-58.423191667,66,SA,SABE,,AR
