airport,length,width,le_name,le_latitude,le_longitude,le_elevation,le_heading,le_displaced_threshold,he_name,he_latitude,he_longitude,he_elevation,he_heading,he_displaced_threshold,surface,lighted,active
SKPE,6627,148,08,4.8099,-75.7482,4342,73,,26,4.81544,-75.7308,4418,253,,ASP,1,1
SKPI,4912,98,06,1.8544,-76.0916,,60,,24,1.86114,-76.0799,,240,,ASP,0,1
SKPN,3310,35,06,6.20851,-74.5949,450,71,,24,6.21153,-74.5863,476,251,,ASP,0,1
SKPP,6266,98,07,2.45162,-76.6174,5633,70.8,,25,2.45724,-76.6014,5687,250.8,,ASP,1,1
SKPQ,9987,164,18,5.49736,-74.6567,566,182.6,,36,5.46986,-74.658,566,2.6,,,1,1
SKPR,4230,82,18,6.46613,-74.4112,,173,,36,6.45456,-74.4098,,353,,ASP,0,1
SKPS,7585,130,02,1.3862,-77.2943,5840,16,200,20,1.40629,-77.2886,5840,196,170,ASP,1,1
SKPV,3832,50,17,13.3621,-81.3594,10,169.1,,35,13.3517,-81.3574,10,349.1,,ASP,0,1
SKPZ,4935,98,04,5.87045,-71.8903,,33.1,,22,5.88184,-71.8829,,213.1,,ASP,0,1
SKQU,5905,164,01,5.20443,-74.884,,2.8,,19,5.22069,-74.8833,,182.8,,ASP,0,1
SKRG,11483,148,19,6.18036,-75.4232,7025,180,,01,6.14871,-75.423,6967,360,,ASP,1,1
SKRH,5413,98,09,11.526,-72.9335,,88.3,,27,11.5264,-72.9184,,268.3,,ASP,0,1
SKSA,3937,98,16,6.9534,-71.8581,674,150,1315,34,6.9412,-71.8545,667,330,,ASP,0,1
SKSJ,4897,66,01,2.57296,-72.64,605,5.3,304,19,2.58642,-72.6387,601,185.3,,ASP,0,1
SKSM,5577,98,01,11.112,-74.2305,8,358.7,,19,11.1273,-74.2308,22,178.7,,ASP,0,1
SKSO,6171,80,04,5.66973,-72.9758,,39.9,,22,5.68269,-72.9648,,219.9,,ASP,0,1
SKSP,7808,148,06,12.5782,-81.7206,8,59.3,,24,12.589,-81.7017,8,239.3,,ASP,1,1
SKSV,4921,85,14,2.15665,-74.7714,,132,,32,2.1477,-74.7613,,312,,ASP,0,1
SKTB,4921,66,09,8.63074,-72.7372,194,83.4,,27,8.6323,-72.7236,194,263.4,,ASP,0,1
SKTI,9280,96,04,4.23434,-74.657,,34.3,,22,4.25526,-74.6428,,214.3,,ASP,1,1
SKTI,1431,65,04L,4.25432,-74.6461,,34.5,,22R,4.25757,-74.6438,,214.5,,CON,0,1
SKTJ,3635,66,04,5.53727,-73.3473,,34.3,,22,5.54554,-73.3417,,214.3,,ASP,0,1
SKTM,6561,98,07,6.44643,-71.7681,1050,59,,25,6.45573,-71.7524,1050,239,,ASP,1,1
SKTQ,6220,79,07,0.74211,-75.2417,585,64,,25,0.74969,-75.2264,571,244,,CON,0,1
SKUA,8110,100,03,5.51791,-68.6815,,23.7,,21,5.53828,-68.6725,,203.7,,GRE,0,1
SKUA,6780,145,07,5.52031,-68.6939,279,63.4,,25,5.52866,-68.6773,282,243.4,,ASP,1,1
SKUC,6890,98,11,7.07013,-70.7464,420,98,,29,7.06763,-70.7275,420,278,,ASP,1,1
SKUI,4593,98,13,5.69415,-76.6465,175,122,,31,5.68737,-76.6358,204,302,280,ASP,1,1
