icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,approach_speed,cruise_speed,maximum_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,mlw,mrw,mtow,mzfw,type_certificate
B39M,7M9,Boeing,737 MAX 9,L2J,M,,41000,,453,,4.01,3.76,12.29,42.16,127.00,35.92,,,25817,3550,74343,88541,88314,70987,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
B3JM,7MJ,Boeing,737 MAX 10,L2J,M,,41000,,453,,4.01,3.76,12.29,43.80,127.00,35.92,,,25817,3300,,,,,
B407,,Bell,407,H1T,L,,,,,,,,,,,,,,,,,,,,
B412,,Bell,412,H2T,L,,,,,,,,,,,,,,,,,,,,
B427,,Bell,427,H2T,L,,,,,,,,,,,,,,,,,,,,
B429,,Bell,429 GlobalRanger,H2T,L,,,,,,,,,,,,,,,,,,,,
B430,,Bell,430,H2T,L,,,,,,,,,,,,,,,,,,,,
B461,141,British Aerospace,BAe 146-100,L4J,M,31000,35000,121,404,426,,,8.61,26.19,77.30,26.34,,,11728,2090,32817,34700,34473,29483,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa182
B462,142,British Aerospace,BAe 146-200,L4J,M,31000,35000,122,404,426,,,8.61,28.55,77.30,26.34,,,11728,1970,35153,40823,40596,32204,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa182
B463,143,British Aerospace,BAe 146-300,L4J,M,31000,35000,123,404,426,,,8.59,31.00,77.30,26.34,,,11728,1800,37648,43318,43091,35153,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa182
B47G,,Bell,47/H-13 Sioux,H1P,L,,,,,,,,,,,,,,,,,,,,
B47J,,Bell,47J Ranger,H1P,L,,,,,,,,,,,,,,,,,,,,
B505,,Bell,505 Jet Ranger X,H1T,L,,,,,,,,,,,,,,,,,,,,
B52,,Boeing,B-52 Stratofortress,L8J,H,,,141,,,,,,,,56.39,,,,,,,,,
B701,,Boeing,707-100,L4J,M,,,,540,,,3.76,12.70,44.22,226.30,39.88,,,65590,3000,,,123500,,
