aircraft_type,picture,source,author_name,author_profile,license
A002,aircraft_types_pictures/A002.webp,https://commons.wikimedia.org/wiki/File:Gyroplane_Irkut_A002M.webp,Разработчик,,CC-BY-SA-1.0
A1,aircraft_types_pictures/A1.webp,https://www.flickr.com/photos/clemensv/7911148090/,Clemens Vasters,https://www.flickr.com/photos/clemensv/,CC-BY-2.0
A10,aircraft_types_pictures/A10.webp,https://www.flickr.com/photos/my_public_domain_photos/35452059444/,Robert Sullivan,https://www.flickr.com/photos/my_public_domain_photos/,CC0-1.0
A109,aircraft_types_pictures/A109.webp,https://www.flickr.com/photos/sjbyles/49825032637/,Steven Byles,https://www.flickr.com/photos/sjbyles/,CC-BY-SA-2.0
A119,aircraft_types_pictures/A119.webp,https://www.flickr.com/photos/95512093@N05/27654732096/,James,https://www.flickr.com/photos/95512093@N05/,CC-BY-SA-2.0
A122,aircraft_types_pictures/A122.webp,https://commons.wikimedia.org/wiki/File:Aerotec122_zarapa.webp,Gabriel Toledano,https://en.wikipedia.org/wiki/pt:User:Gabriel_Toledano,CC0-1.0
A124,aircraft_types_pictures/A124.webp,https://www.flickr.com/photos/fireballsg72/5623381311/,ken H,https://www.flickr.com/photos/fireballsg72/,CC-BY-SA-2.0
A129,aircraft_types_pictures/A129.webp,https://www.flickr.com/photos/109661044@N07/26847417363/,Rob Schleiffert,https://www.flickr.com/photos/109661044@N07/,CC-BY-SA-2.0
A139,aircraft_types_pictures/A139.webp,https://www.flickr.com/photos/wiltshirespotter/14684727542/,Pete Webber,https://www.flickr.com/photos/wiltshirespotter/,CC-BY-SA-2.0
A140,aircraft_types_pictures/A140.webp,https://www.flickr.com/photos/130961247@N06/17270753820/,Anna Zvereva,https://www.flickr.com/photos/130961247@N06/,CC-BY-SA-2.0
A148,aircraft_types_pictures/A148.webp,https://www.flickr.com/photos/130961247@N06/37680523701/,Anna Zvereva,https://www.flickr.com/photos/130961247@N06/,CC-BY-SA-2.0
A149,aircraft_types_pictures/A149.webp,https://www.flickr.com/photos/ajw1970/11988205073/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
A158,aircraft_types_pictures/A158.webp,https://www.flickr.com/photos/130961247@N06/15833810944/,Anna Zvereva,https://www.flickr.com/photos/130961247@N06/,CC-BY-SA-2.0
A169,aircraft_types_pictures/A169.webp,https://www.flickr.com/photos/wiltshirespotter/14284645724/,Pete Webber,https://www.flickr.com/photos/wiltshirespotter/,CC-BY-SA-2.0
A178,aircraft_types_pictures/A178.webp,https://www.flickr.com/photos/130961247@N06/43377403255/,Anna Zvereva,https://www.flickr.com/photos/130961247@N06/,CC-BY-SA-2.0
A189,aircraft_types_pictures/A189.webp,https://www.flickr.com/photos/wiltshirespotter/14098501588/,Pete Webber,https://www.flickr.com/photos/wiltshirespotter/,CC-BY-SA-2.0
A19N,aircraft_types_pictures/A19N.webp,https://www.flickr.com/photos/94250258@N02/39705337651/,Jonathan Winton Photography,https://www.flickr.com/photos/94250258@N02/,CC-BY-ND-2.0
A20,aircraft_types_pictures/A20.webp,https://www.flickr.com/photos/ajw1970/10156437134/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
A20N,aircraft_types_pictures/A20N.webp,https://www.flickr.com/photos/fklebl/43628797864/,Florian Klebl,https://www.flickr.com/photos/fklebl/,CC-BY-ND-2.0
A21N,aircraft_types_pictures/A21N.webp,https://www.flickr.com/photos/bribri/29428329122/,BriYYZ,https://www.flickr.com/photos/bribri/,CC-BY-SA-2.0
