"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"1500bf","RA-65727","Tupolev","Tu-134B-3","T134","03564820","L2J",NULL,NULL,NULL,NULL
"1500c1","RA-65729","Tupolev","Tu-134AK","T134","63961","L2J",NULL,NULL,NULL,NULL
"1500c5","RA-65733","Tupolev","Tu-134B-3","T134","64425","L2J",NULL,NULL,NULL,NULL
"1500c9","RA-65737","Tupolev","Tu-134B-3","T134","64195","L2J","POV",NULL,NULL,NULL
"1500ca","65738","Tupolev","Tu-134A","T134","2351507","L2J",NULL,NULL,NULL,NULL
"1500d3","RA-65747","Tupolev","Tu-134B-3","T134","64715","L2J",NULL,NULL,NULL,NULL
"1500f8","RA-65784","Tupolev","Tu-134A-3","T134","62715","L2J",NULL,NULL,NULL,NULL
"15010d","RA-65805","Tupolev","Tu-134B-3","T134","64775","L2J",NULL,NULL,NULL,NULL
"150170","RA-65904","Tupolev","Tu-134A-3","T134","63953","L2J","RSD",NULL,NULL,NULL
"150171","RA-65905","Tupolev","Tu-134A-3","T134","63965","L2J","RSD",NULL,NULL,NULL
"150172","RA-65906","Tupolev","Tu-134A","T134","66175","L2J","LLM",NULL,NULL,NULL
"150174","RA-65908","Tupolev","Tu-134A","T134","63870","L2J","JSI",NULL,NULL,NULL
"150177","RA-65911","Tupolev","Tu-134A-3","T134","63972","L2J","RSD",NULL,NULL,NULL
"15017d","65917","Tupolev","Tu-134A-3","T134","63991","L2J",NULL,NULL,NULL,NULL
"15017f","RA-65919","Tupolev","Tu-134A-3","T134","66168","L2J","KSM",NULL,NULL,NULL
